#period	period time	calc time
1	175	109
2	121	108
3	116	106
4	114	264
5	273	113
6	121	107
7	115	106
8	115	106
9	114	106
10	114	105
11	113	106
12	114	204
13	214	28
14	60	29
15	61	29
16	59	28
17	59	28
18	59	28
19	59	28
20	59	28
21	197	54
22	63	52
23	60	50
24	59	51
25	59	51
26	59	51
27	59	51
28	59	50
29	58	50
30	58	50
31	58	50
32	58	50
33	59	151
34	187	53
35	61	50
36	59	50
37	59	51
38	59	51
39	59	51
40	59	108
41	117	53
42	61	51
43	59	51
44	59	51
45	59	51
46	59	49
47	57	138
48	228	225
49	233	27
50	34	23
51	30	23
52	30	46
53	54	45
54	53	44
55	51	44
56	51	43
57	51	43
58	51	45
59	52	43
60	51	43
61	51	43
62	50	43
63	50	43
64	51	43
65	50	45
66	52	43
67	50	43
68	50	43
69	50	43
70	50	43
71	50	45
72	52	43
73	50	43
74	50	43
75	50	43
76	50	44
77	51	43
78	51	43
79	50	44
80	51	168
81	176	24
82	31	23
83	30	23
84	30	23
85	30	171
86	179	25
87	32	23
88	30	23
89	30	23
90	30	23
91	30	145
92	153	24
93	31	23
94	30	23
95	30	153
96	161	24
97	31	23
98	30	23
99	30	23
100	30	121
101	129	25
102	32	23
103	30	23
104	30	23
105	53	25
106	473	28
107	35	23
108	30	23
109	30	23
110	30	22
111	29	23
112	29	23
113	30	23
114	30	22
115	29	23
116	30	23
117	29	23
118	30	23
119	29	80
120	87	22
121	28	21
122	27	21
123	27	21
124	27	20
