#period	period time	calc time
1	6488	1507
2	3498	1490
3	3247	1508
4	4746	1502
5	3997	1505
6	4249	1740
7	4497	1504
8	4251	1498
9	4994	2249
10	3996	1499
11	4256	1750
12	4987	1501
13	3753	1505
14	4493	1521
15	4500	1503
16	4246	1496
17	4749	2243
18	3998	1514
19	4497	1514
20	4741	1749
21	3995	1501
22	4497	2752
23	4247	1497
24	4497	1496
25	4995	1750
26	3748	1509
27	4499	1499
28	4246	1501
29	4498	1499
30	4747	1998
31	3995	1500
32	4497	1500
33	4497	1502
34	4253	1745
35	4491	2001
36	4247	1503
37	4499	1501
38	4499	2247
39	4243	1502
40	4497	1502
41	4496	1509
42	4245	1502
43	4250	2000
44	4496	1501
45	4498	1508
46	4497	2250
47	4247	1251
48	4247	1502
49	5002	1496
50	3992	1502
51	4247	1502
52	4747	1518
53	4254	1495
54	4742	2249
55	3995	1500
56	4247	1501
57	4999	1500
58	3995	1501
59	4248	2001
60	4496	1510
61	4249	1499
62	4745	2251
63	4248	1501
64	4255	1493
65	4738	1502
66	3998	1500
67	4744	2000
68	4245	1757
69	4251	1502
70	4747	2252
71	3998	1500
72	4753	1495
73	4490	1501
74	3999	1498
75	4495	2009
76	4497	1501
77	4497	1503
78	4497	2262
79	3997	1254
80	4504	1495
81	4989	1502
82	3999	1501
83	4248	1751
84	4497	1498
85	4247	1500
86	4745	2501
87	4254	1997
88	4241	1501
89	4996	1501
90	3748	1251
91	4505	1743
92	4493	1750
93	4243	1500
94	4752	2254
95	4242	1501
96	4496	1251
97	4496	3253
98	3998	1507
99	4498	2752
100	4496	1501
101	4249	1499
102	4752	2239
103	3991	1500
104	4496	1503
105	4497	1502
106	4255	1495
107	4489	2753
108	4248	1503
109	4497	1751
110	4747	1752
111	4000	1749
112	4494	1751
113	4247	1501
